prompt_tokens,generated_tokens,ttft_sec,prefill_sec,decode_sec,total_latency_sec,decode_sec_per_token,peak_vram_mb,generated_text,mode,kv_budget,decode_vram_mb,run
4096,32,0.3256525993347168,0.3256525993347168,1.1236965656280518,1.4495718479156494,0.03511551767587662,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",full_cache,-1,14798.80859375,1
4096,32,0.32508230209350586,0.32508230209350586,1.1230108737945557,1.4482824802398682,0.035094089806079865,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",full_cache,-1,14798.80859375,2
4096,32,0.32703542709350586,0.32703542709350586,1.1278190612792969,1.4550812244415283,0.03524434566497803,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",full_cache,-1,14798.80859375,3
4096,32,0.3261408805847168,0.3261408805847168,1.1412551403045654,1.4675219058990479,0.03566422313451767,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",full_cache,-1,14798.80859375,4
4096,32,0.32621312141418457,0.32621312141418457,1.126162052154541,1.4526095390319824,0.03519256412982941,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",full_cache,-1,14798.80859375,5
4096,32,0.32609128952026367,0.32609128952026367,1.2215139865875244,1.5477712154388428,0.03817231208086014,14838.7783203125,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_1024,1024,14710.7783203125,1
4096,32,0.3262455463409424,0.3262455463409424,1.2172083854675293,1.5435798168182373,0.03803776204586029,14838.7783203125,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_1024,1024,14710.7783203125,2
4096,32,0.32587313652038574,0.32587313652038574,1.2166681289672852,1.5426859855651855,0.03802087903022766,14838.7783203125,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_1024,1024,14710.7783203125,3
4096,32,0.3261568546295166,0.3261568546295166,1.2221202850341797,1.5484697818756104,0.038191258907318115,14838.7783203125,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_1024,1024,14710.7783203125,4
4096,32,0.3270878791809082,0.3270878791809082,1.231696605682373,1.5590190887451172,0.03849051892757416,14838.7783203125,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_1024,1024,14710.7783203125,5
4096,32,0.3264963626861572,0.3264963626861572,1.2522785663604736,1.579010248184204,0.0391337051987648,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_512,512,14646.7783203125,1
4096,32,0.32680821418762207,0.32680821418762207,1.2550644874572754,1.5821082592010498,0.039220765233039856,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_512,512,14646.7783203125,2
4096,32,0.3266429901123047,0.3266429901123047,1.2354140281677246,1.5622775554656982,0.038606688380241394,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_512,512,14646.7783203125,3
4096,32,0.32581639289855957,0.32581639289855957,1.2347838878631592,1.5607905387878418,0.038586996495723724,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_512,512,14646.7783203125,4
4096,32,0.3264288902282715,0.3264288902282715,1.2376525402069092,1.5643281936645508,0.03867664188146591,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency. Large language",kv_budget_512,512,14646.7783203125,5
4096,32,0.3262510299682617,0.3262510299682617,1.2298393249511719,1.5563058853149414,0.03843247890472412,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency.

",kv_budget_256,256,14614.7783203125,1
4096,32,0.32601308822631836,0.32601308822631836,1.2594542503356934,1.5856969356536865,0.03935794532299042,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency.

",kv_budget_256,256,14614.7783203125,2
4096,32,0.3263411521911621,0.3263411521911621,1.2689528465270996,1.5955147743225098,0.03965477645397186,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency.

",kv_budget_256,256,14614.7783203125,3
4096,32,0.3268754482269287,0.3268754482269287,1.2583458423614502,1.5854556560516357,0.03932330757379532,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency.

",kv_budget_256,256,14614.7783203125,4
4096,32,0.32684326171875,0.32684326171875,1.2409582138061523,1.5680394172668457,0.03877994418144226,14798.80859375,"rely on key value caches during decoding. This project studies how prompt length affects decode latency, memory use, and overall inference efficiency.

",kv_budget_256,256,14614.7783203125,5
